# mjd counts counts_error
5.893443304443359375e+04 -1.497240807699825282e+01 2.406814631758568268e+01
5.893445391845703125e+04 -1.058614543248539874e+01 2.279416809671878852e+01
5.893447473144531250e+04 -1.283817424471092394e+01 2.244262091094000766e+01
5.893449554443359375e+04 -9.125684429258971164e+00 2.689489348121900747e+01
5.893451641845703125e+04 -5.706763863792172486e+00 1.915846469172065980e+01
5.893453723144531250e+04 -1.364661294182041651e+01 1.972392107613927337e+01
5.893455804443359375e+04 -9.356530293381538854e+00 1.254716090701510112e+01
5.893457891845703125e+04 -1.098591420214839331e+01 1.960837610746771276e+01
5.893459973144531250e+04 -3.191186530052094739e+00 1.306361066852004882e+01
5.893462054443359375e+04 -7.010379924618728609e+00 1.924033152603863073e+01
5.893464141845703125e+04 -7.936335152688798189e+00 2.766954861719272074e+01
5.893466223144531250e+04 -1.270964068991465368e+01 1.774920003661424417e+01
5.893468304443359375e+04 -1.775907844211555187e+01 3.426889290149971856e+01
5.893470391845703125e+04 -1.230769158002876296e+01 1.956188819587649164e+01
5.893472473144531250e+04 -1.101175037390880007e+01 2.429949019350965855e+01
5.893474554443359375e+04 -7.036911484726356747e+00 2.320336533229850673e+01
5.893476641845703125e+04 -1.132406133220273148e+01 2.311166597374345955e+01
5.893478723144531250e+04 -1.472677206217241874e+01 2.408208305551227468e+01
5.893480804443359375e+04 -1.606022870952038772e+01 3.095484980921224150e+01
5.893482891845703125e+04 -1.024863582872808720e+01 3.265697858049315272e+01
5.893484973144531250e+04 -9.348205984152681225e+00 2.661585610963318160e+01
5.893487054443359375e+04 -2.003411896430353423e+01 3.524974418054900127e+01
5.893489141845703125e+04 -1.859642312995686808e+01 2.978102888582736796e+01
5.893491223144531250e+04 -1.379224529791319398e+01 3.970577037765530548e+01
5.893493304443359375e+04 -2.213270264687288247e+01 4.340065134432411753e+01
5.893495391845703125e+04 -2.495213972380930656e+01 4.739204344985811446e+01
5.893497473144531250e+04 -2.128576838309922792e+01 4.332012309805337225e+01
5.893499554443359375e+04 -1.375222329513595021e+01 3.597540226923807438e+01
5.893501641845703125e+04 -2.004902320305487606e+01 3.612552640503086820e+01
5.893503723144531250e+04 -1.238765132898426025e+01 2.094899196977705458e+01
5.893505804443359375e+04 -1.563973390418187215e+01 2.556014542466244421e+01
5.893507891845703125e+04 -1.194014332340850260e+01 3.198121119351249675e+01
5.893509973144531250e+04 -1.844568329423993092e+01 3.580727632448798659e+01
5.893512054443359375e+04 -1.485503416132629440e+01 2.767280603833470565e+01
5.893514141845703125e+04 -1.467862772295291407e+01 3.590900991795747643e+01
5.893516223144531250e+04 -1.100044492111655359e+01 2.734138997712363661e+01
5.893518304443359375e+04 -1.271273494109376401e+01 3.175148796710003651e+01
5.893520391845703125e+04 -1.174806307022783258e+01 3.152173289917173093e+01
5.893522473144531250e+04 -2.473755421773721253e+01 5.126468402292454840e+01
5.893524554443359375e+04 -1.957024743413161971e+01 3.549295481757435766e+01
5.893526641845703125e+04 -1.865626293722199591e+01 4.322919890153902855e+01
5.893528723144531250e+04 -1.377335899971289734e+01 4.199558634195392415e+01
5.893530804443359375e+04 -1.616203163280594524e+01 3.282626939514841524e+01
5.893532891845703125e+04 -1.489910796230718049e+01 2.890269993502986523e+01
5.893534973144531250e+04 -8.710334153177875294e+00 2.626701695010214621e+01
5.893537054443359375e+04 -1.792672444852209424e+01 4.034645861668018796e+01
5.893539141845703125e+04 -1.059374037938658475e+01 3.081401762797431942e+01
5.893541223144531250e+04 -1.806008689909288378e+01 3.473435593961639256e+01
5.893543304443359375e+04 -2.072108390261720245e+01 4.866670362376461156e+01
5.893545391845703125e+04 -2.073026115874438702e+01 3.739826632711606180e+01
5.893547473144531250e+04 -1.335693631807770387e+01 2.862502278381758458e+01
5.893549554443359375e+04 -1.922149389281559806e+01 3.852177915683213172e+01
5.893551641845703125e+04 -1.453821673798797853e+01 3.091230859575262002e+01
5.893553723144531250e+04 -1.849093746845923292e+01 4.194658495418735811e+01
5.893555804443359375e+04 -1.849837775003756590e+01 3.648927207832898745e+01
5.893557891845703125e+04 -4.750678179325163342e+00 3.076373228542505345e+01
5.893559973144531250e+04 -1.676637756623392406e+01 2.922866951713712069e+01
5.893562054443359375e+04 -1.821194552667178712e+01 3.252425986235830635e+01
5.893564141845703125e+04 -7.886629753290666400e+00 1.887434974409809740e+01
5.893568304443359375e+04 -2.860786454960621228e+00 8.903093316089597309e+00
5.893570391845703125e+04 2.182277442458147476e+00 7.341794264574644124e+00
5.893572473144531250e+04 -4.062514374818277929e-01 7.008259952741191512e+00
5.893574554443359375e+04 -3.852292189547863899e+00 5.645050985279643996e+00
5.893576641845703125e+04 -9.350264312009635148e-01 7.496197115145227130e+00
5.893578723144531250e+04 -1.352117864182366347e+00 7.632398415575159412e+00
5.893580804443359375e+04 -5.102304670457559865e+00 8.076822713976497425e+00
5.893582891845703125e+04 -1.091711336151771405e+00 8.265033932646437265e+00
5.893584973144531250e+04 4.319311498831414298e+00 7.086009349179559713e+00
5.893587054443359375e+04 -1.117217163850465766e+00 1.088704465009800515e+01
5.893589141845703125e+04 -3.624468984526266979e+00 7.983585336733248994e+00
5.893591223144531250e+04 -1.779837126561671923e+00 9.163171098808859938e+00
5.893593304443359375e+04 -4.088066738374728004e+00 6.965773033208755294e+00
5.893595391845703125e+04 -3.183742740224086987e+00 8.138775232459771303e+00
5.893597473144531250e+04 -4.680963651684894700e+00 7.264031425574885681e+00
