pl_name,default_flag,disc_facility,tran_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratror,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
55 Cnc e,0,G8 V,1,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,0.7365437,0.01544,2.08,0.18600000000000003,7.81,0.024569999999999998,7.8,0.02454,7.81,0.024569999999999998,Mass,0.061,,1958.0,87.3,0.16,0.040999999999999995,1.5959999999999999,0.0202,<a refstr=DEMORY_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A&A...533A.114D/abstract target=ref>Demory et al. 2011</a>,,5234.0,0.94,0.91,0.31,[Fe/H],4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,6.816,5.95084,4.768,4.265,4.015,,,,,5.72973,2016-07-06 11:38:15,2011-09,2015-12-03
AU Mic b,1,Transiting Exoplanet Survey Satellite (TESS),1,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,8.46321,0.066,4.203,0.375,,,57.2094,0.18,57.2094,0.18,Msini,0.1,,,,0.16,,3.5,0.0514,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,,3700.0,0.75,0.5,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h45m09.87s,311.29113689999997,-31d20m32.82s,-31.34245,10.209,8.81,5.436,4.831,4.529,,,,,7.840380000000001,2020-06-12 16:41:23,2020-06,2020-06-24
CoRoT-11 b,1,CoRoT,1,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,2.9943299999999997,0.0436,16.03,1.43,740.51,2.33,,,740.51,2.33,Mass,0.0,,1657.0,83.17,0.818,1.1449,2.5009,0.107,<a refstr=GANDOLFI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...524A..55G/abstract target=ref> Gandolfi et al. 2010 </a>,F6 V,6440.0,1.37,1.27,-0.03,[Fe/H],4.22,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,13.529000000000002,12.897,11.589,11.415999999999999,11.248,,,,,12.841,2014-05-14,2010-12,2014-05-14
CoRoT-2 b,4.48,CoRoT,1,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,1.7429935,0.02798,16.432000000000002,1.466,1102.82,3.47,,,1102.82,3.47,Mass,0.0143,,,88.08,0.221,2.75,2.26704,,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...511A...3G/abstract target=ref> Gillon et al. 2010 </a>,,5625.0,0.91,0.96,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836633999999999,13.345999999999998,12.515999999999998,10.783,10.437999999999999,10.31,,,,,12.2489,2014-05-14,2010-02,2014-05-14
CoRoT-3 b,0,CoRoT,1,<a refstr=TSANTAKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A..80T/abstract target=ref>Tsantaki et al. 2014</a>,,,,,,,,,,,,,,,,,,3.384,0.0641,<a refstr=TSANTAKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...570A..80T/abstract target=ref>Tsantaki et al. 2014</a>,,6558.0,1.44,1.41,0.14,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,14.118,13.448,11.936,11.71,11.618,,,,,13.2188,2014-08-21,2014-07,2014-08-21
CoRoT-7 b,1756.0,CoRoT,1,<a refstr=LEGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..287L/abstract target=ref> Leger et al. 2009 </a>,0.853585,0.0172,1.68,0.15,21.0,0.066,,,21.0,0.066,Mass,,,,80.1,0.61,0.0335,1.125,0.0187,<a refstr=LEGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...506..287L/abstract target=ref> Leger et al. 2009 </a>,G9 V,5275.0,0.87,0.93,0.03,[M/H],4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h43m49.48s,100.95616820000001,-01d03m46.83s,-1.0630076000000002,12.784,11.728,10.300999999999998,9.88,9.806000000000001,,,,,11.5239,2018-04-25 14:05:45,2009-10,2015-03-05
DS Tuc A b,4.44,Transiting Exoplanet Survey Satellite (TESS),1,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,8.138268,,5.7,0.509,,,,,,,,0.0,,850.0,89.5,0.18,0.2936,3.1764,0.054189999999999995,<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>,G6 V,5428.0,0.96,1.01,0.0,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h39m39.71s,354.9154673,-69d11m45.75s,-69.196043,8.886000000000001,8.17,7.122000000000001,6.7589999999999995,6.676,,,,,8.31926,2019-07-03 16:37:40,2019-07,2019-07-11
EPIC 205950854 c,0,K2,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,8.0516,,1.62,,,,,,,,,,,,,,0.0303,3.72,0.0164,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.9,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h12m26.42s,333.1100738,-16d20m30.79s,-16.341886300000002,12.972999999999999,12.365,10.957,10.589,10.549000000000001,,,,,12.0976,2019-09-05,2019-09,2019-09-05
EPIC 206024342 b,0,K2,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,4.5071699999999995,,1.44,,,,,,,,,,,,,,0.0267,2.184,0.016,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.82,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,13.798,13.095999999999998,11.845999999999998,11.533,11.487,,,,,12.9682,2019-09-05,2019-09,2019-09-05
EPIC 211945201 b,0,K2,1,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,0.1381,0.14800000000000002,6.12,0.546,27.0,0.08495,,,27.0,0.08495,Mass,0.0,,886.0,87.9,0.85,,3.91,0.0407,<a refstr=CHAKRABORTY_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156....3C/abstract target=ref>Chakraborty et al. 2018</a>,G0,6025.0,1.38,1.18,0.1,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h06m17.81s,136.57419309999997,+19d24m07.40s,19.4020565,10.937999999999999,10.154,9.144,8.908,8.837,,,,,10.0512,2018-10-24 14:52:19,2018-07,2018-05-31
EPIC 212587672 b,0,K2,1,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,15.2841,,1.39,,,,,,,,,,,,,,0.0187,3.552,0.013000000000000001,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,0.98,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h41m46.68s,205.4445125,-10d51m45.17s,-10.8625468,12.69,12.488,11.181,10.911,10.857000000000001,,,,,12.2038,2019-09-05,2019-09,2019-09-05
EPIC 220674823 b,0,K2,0.02847,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,0.571292,0.0116,1.52,0.136,8.36,0.0263,,,8.36,0.0263,Mass,0.0,,2333.0,86.4,0.18,,1.5319999999999998,0.01601,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,G5 V,5470.0,0.87,0.94,-0.025,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,12.575999999999999,12.100999999999999,10.77,10.454,10.344000000000001,14.7932,12.6287,12.0262,11.8122,11.9535,2018-10-24 14:52:58,2017-12,2018-06-21
EPIC 220674823 c,0,K2,0.0903,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,13.3397,0.105,2.5,0.223,5.8,0.01825,,,5.8,0.01825,Mass,0.18,,774.0,89.35,0.31,,3.66,0.02632,<a refstr=GUENTHER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...608A..93G/abstract target=ref>Guenther et al. 2017</a>,G5 V,5470.0,0.87,0.94,-0.025,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,12.575999999999999,12.100999999999999,10.77,10.454,10.344000000000001,14.7932,12.6287,12.0262,11.8122,11.9535,2018-10-24 14:52:59,2017-12,2018-06-21
EPIC 246851721 b,1,K2,1,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,6.180235,0.07229,11.780999999999999,1.051,953.49,3.0,953.49,3.0,953.49,3.0,Mass,,642.0,1401.0,86.21,0.647,0.46399999999999997,4.10808,0.0681,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..250Y/abstract target=ref>Yu et al. 2018</a>,F5 V,6202.0,1.59,1.32,0.141,[Fe/H],4.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h15m40.76s,78.9198197,+16d16m43.32s,16.2786991,12.067,11.237,10.199,9.967,9.892999999999999,15.2612,11.7275,11.3069,11.1782,11.2549,2019-12-02 09:30:00,2018-12,2018-10-26
EPIC 249893012 b,1,K2,1,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,3.5951,0.047,1.95,0.174,8.75,0.027530000000000002,,,8.75,0.027530000000000002,Mass,0.06,1037.0,1616.0,86.14,0.42,,4.33,0.0104,<a refstr=HIDALGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..89H/abstract target=ref>Hidalgo et al. 2020</a>,G8 IV/V,5430.0,1.71,1.05,0.2,[Fe/H],3.99,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h12m59.58s,228.2482353,-16d43m28.73s,-16.724647400000002,12.333,11.429,10.216000000000001,9.8,9.714,,,,,11.4019,2020-02-06 15:21:17,2020-04,2020-02-13
G 9-40 b,1,K2,1,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..100S/abstract target=ref>Stefansson et al. 2020</a>,5.746007,0.0385,2.025,0.18100000000000002,,,,,,,,0.0,7.2,456.0,88.57,0.672,0.365,1.3368,0.0605,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..100S/abstract target=ref>Stefansson et al. 2020</a>,M2.5 V,3348.0,0.31,0.29,0.04,[Fe/H],4.93,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h58m52.52s,134.7188514,+21d04m29.27s,21.0747961,15.477,13.821,10.058,9.433,9.19,17.28,16.0466,13.372,12.135,12.7331,2020-01-13 14:09:01,2020-03,2020-01-16
GJ 1214 b,0,MEarth Project,0.19,<a refstr=CARTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...82C/abstract target=ref> Carter et al. 2011 </a>,1.58040482,,2.27,0.203,6.43,0.02,,,6.43,0.02,Mass,,,,90.0,,,0.8788,0.1161,<a refstr=CARTER_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...82C/abstract target=ref> Carter et al. 2011 </a>,,3170.0,0.18,0.16,0.0,[Fe/H],5.12,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h15m19.54s,258.8313991,+04d57m38.45s,4.9606794999999995,,15.1,9.75,9.094,8.782,,,,,13.0089,2015-12-02 14:49:28,2011-04,2014-10-29
GJ 1252 b,4.89,Transiting Exoplanet Survey Satellite (TESS),1,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,0.5182349,0.00916,1.193,0.106,2.09,0.00658,,,2.09,0.00658,Mass,0.0,,1089.0,85.0,0.44,,0.7340000000000001,0.02802,<a refstr=SHPORER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L...7S/abstract target=ref>Shporer et al. 2020</a>,M3,3458.0,0.39,0.38,0.1,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h27m42.88s,306.9286462,-56d27m44.23s,-56.4622865,,12.68,8.697000000000001,8.161,7.915,,,,,11.2364,2020-02-06 15:20:42,2020-02,2020-02-13
GJ 143 b,0.160996,Transiting Exoplanet Survey Satellite (TESS),1,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,35.61253,0.1915,2.61,0.233,22.7,0.07142000000000001,,,22.7,0.07142000000000001,Mass,0.188,,422.0,89.33,0.5870000000000001,,3.23,0.035,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,K4.5,4640.0,0.69,0.73,0.003,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h27m00.05s,51.750188200000004,-63d30m00.60s,-63.500166,9.214,8.08,6.081,5.524,5.375,,,,,7.679060000000001,2019-04-22 11:32:03,2019-04,2019-04-25
GJ 3470 b,0,M1.5,1,<a refstr=DEMORY_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768..154D/abstract target=ref>Demory et al. 2013</a>,3.33665,0.03557,4.83,0.431,13.9,0.04373,,,13.9,0.04373,Mass,,,,88.3,0.4,,1.8984,0.07798,<a refstr=DEMORY_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...768..154D/abstract target=ref>Demory et al. 2013</a>,,3600.0,0.57,0.54,0.2,[Fe/H],4.66,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h59m05.64s,119.7735021,+15d23m28.35s,15.391209,13.785,12.332,8.794,8.206,7.989,15.9337,15.4392,11.8694,10.7632,11.3537,2019-01-28 15:52:00,2013-05,2016-09-08
GJ 357 b,0.116426,Transiting Exoplanet Survey Satellite (TESS),1,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,3.9307199999999995,0.035,1.217,0.109,1.84,0.00579,,,1.84,0.00579,Mass,,12.6,525.0,89.12,0.34,,1.53,0.0331,<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,M2.5 V,3505.0,0.34,0.34,-0.12,[Fe/H],4.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h36m01.79s,144.0074644,-21d39m54.23s,-21.665063399999998,12.355,10.91,7.337000000000001,6.74,6.475,,,,,9.880360000000001,2019-08-09 09:26:47,2019-08,2019-08-15
GJ 436 b,0,W. M. Keck Observatory,0.0831,<a refstr=LANOTTE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..73L/abstract target=ref>Lanotte et al. 2014</a>,2.64389803,0.0308,4.1,0.366,25.4,0.08,,,25.4,0.08,Mass,0.1616,,,86.85799999999999,0.7972,,1.00536,,<a refstr=LANOTTE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...572A..73L/abstract target=ref>Lanotte et al. 2014</a>,,3416.0,0.46,0.56,0.02,[Fe/H],4.84,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h42m12.13s,175.5505363,+26d42m11.04s,26.7030669,12.058,10.67,6.9,6.319,6.0729999999999995,15.9785,11.8123,10.0822,8.92183,9.571480000000001,2014-09-18,2014-12,2014-09-18
GJ 9827 b,0,0.0,1,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...72R/abstract target=ref>Rodriguez et al. 2018</a>,1.2089802,0.01888,1.62,0.145,3.42,0.010759999999999999,3.41,0.01073,3.42,0.010759999999999999,Mass,,315.0,1172.0,85.73,0.493,0.0586,1.25976,0.0242,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...72R/abstract target=ref>Rodriguez et al. 2018</a>,K5 V,4269.0,0.61,0.61,-0.5,[m/H],4.65,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,11.588,10.37,7.984,7.379,7.193,14.7056,11.1637,9.902569999999999,13.172,9.83773,2019-08-23 15:14:47,2018-02,2018-06-21
GJ 9827 c,0,0.0,1,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...72R/abstract target=ref>Rodriguez et al. 2018</a>,3.648083,0.03942,1.2690000000000001,0.113,2.42,0.00761,2.42,0.00761,2.42,0.00761,Mass,,72.0,811.0,88.05,0.469,0.0361,1.8264,0.01899,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...72R/abstract target=ref>Rodriguez et al. 2018</a>,K5 V,4269.0,0.61,0.61,-0.5,[m/H],4.65,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,11.588,10.37,7.984,7.379,7.193,14.7056,11.1637,9.902569999999999,13.172,9.83773,2019-08-23 15:14:48,2018-02,2018-06-21
GJ 9827 d,0,0.0,1,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...72R/abstract target=ref>Rodriguez et al. 2018</a>,6.201467,0.05615,2.07,0.185,5.2,0.01636,5.2,0.01636,5.2,0.01636,Mass,,35.6,680.0,87.39,0.8959999999999999,0.0957,1.2264,0.030930000000000003,<a refstr=RODRIGUEZ_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...72R/abstract target=ref>Rodriguez et al. 2018</a>,K5 V,4269.0,0.61,0.61,-0.5,[m/H],4.65,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h27m05.23s,351.7717763,-01d17m07.24s,-1.2853435,11.588,10.37,7.984,7.379,7.193,14.7056,11.1637,9.902569999999999,13.172,9.83773,2019-08-23 15:14:49,2018-02,2018-06-21
HAT-P-1 b,G0 V,HATNet,1,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,4.46529976,0.05561,14.785,1.319,166.86075,0.525,166.54292,0.524,166.86075,0.525,Mass,,,1322.0,85.634,0.7501,,2.85,0.11802,<a refstr=NIKOLOV_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.437...46N/abstract target=ref>Nikolov et al. 2014</a>,,5980.0,1.17,1.15,0.13,[Fe/H],4.36,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h57m46.89s,344.4453632,+38d40m29.71s,38.674919,,9.827,9.156,8.923,8.857999999999999,,,,,10.1786,2015-09-08 17:11:04,2014-01,2015-09-10
HAT-P-11 b,0,HATNet,1,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...710.1724B/abstract target=ref> Bakos et al. 2010 </a>,4.8878162000000005,0.053,4.73,4.56,25.743000000000002,0.081,,,25.743000000000002,0.081,Mass,0.198,,878.0,88.5,0.34700000000000003,,2.2968,0.0576,<a refstr=BAKOS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...710.1724B/abstract target=ref> Bakos et al. 2010 </a>,K4,4780.0,0.75,0.81,0.31,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h50m50.44s,297.7101763,+48d04m54.71s,48.081863500000004,10.556,9.46,7.608,7.131,7.0089999999999995,,,,,9.15098,2018-06-26 16:59:12,2010-02,2014-05-14
HAT-P-12 b,1,HATNet,1,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,3.2130598,0.0384,10.749,0.9590000000000001,67.059,0.21100000000000002,,,67.059,0.21100000000000002,Mass,0.0,,963.0,89.0,0.21100000000000002,1.9769999999999999,2.3376,0.1406,<a refstr=HARTMAN_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...706..785H/abstract target=ref> Hartman et al. 2009 </a>,K4,4650.0,0.7,0.73,-0.29,[Fe/H],4.61,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h57m33.27s,209.38864519999998,+43d29m35.92s,43.49331,13.850999999999999,12.665,10.794,10.236,10.107999999999999,15.7005,14.179,12.5706,12.1515,12.4197,2014-05-14,2009-11,2014-05-14
HAT-P-13 b,0,HATNet,1,<a refstr=BAKOS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..446B/abstract target=ref> Bakos et al. 2009 </a>,2.91626,0.0427,14.359000000000002,1.271,271.098,0.853,,,271.098,0.853,Mass,0.021,,1653.0,83.4,0.6679999999999999,,3.228,0.0844,<a refstr=BAKOS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..446B/abstract target=ref> Bakos et al. 2009 </a>,G4,5653.0,1.56,1.22,0.41,[Fe/H],4.13,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h39m31.77s,129.8823772,+47d21m06.87s,47.3519076,11.147,10.421,9.328,9.058,8.975,,,,,10.4168,2014-05-14,2009-12,2014-05-14
HAT-P-14 b,0,HATNet,1,<a refstr=TORRES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...715..458T/abstract target=ref> Torres et al. 2010 </a>,4.627669,0.0606,12.89,1.15,709.367,2.2319999999999998,,,709.367,2.2319999999999998,Mass,0.107,,1570.0,83.5,0.8909999999999999,0.648,2.1888,0.0805,<a refstr=TORRES_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...715..458T/abstract target=ref> Torres et al. 2010 </a>,F,6600.0,1.47,1.39,0.11,[Fe/H],4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h20m27.88s,260.1161719,+38d14m31.81s,38.2421682,10.412,9.988,9.094,8.927,8.851,,,,,9.87283,2018-04-25 14:05:20,2010-05,2014-05-14
