pl_name,default_flag,disc_facility,tran_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratror,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
Kepler-1084 b,0,Kepler,1,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,0.099,0.0316,1.14,,,,,,,,,0.0,2823.41,1859.0,87.09,0.3319,0.00663,2.3751,0.0076,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,6403.0,1.37,0.99,-0.52,[Fe/H],4.16,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h20m24.48s,290.1019809,+48d15m04.13s,48.251146000000006,13.119000000000002,12.015,11.177999999999999,10.904000000000002,10.835999999999999,,,,,12.1577,2014-11-18,2014-12-04,2014-11-18
Kepler-1087 b,0,Kepler,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.054000000000000006,0.0148,0.83,,,,,,,,,0.0,5182.78,2161.0,86.59,0.195,0.0049299999999999995,1.6197,0.00636,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5457.0,1.2,0.9,0.14,[Fe/H],4.24,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m54.94s,294.9789253,+46d00m20.43s,46.00567410000001,13.878,12.972999999999999,11.66,11.312000000000001,11.213,,,,,12.9007,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1088 b,0,Kepler,1,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,23.12748644,0.127,1.36,,,,,,,,,0.0,48.26,672.0,89.38,0.3931,0.01623,4.923,0.0118,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5930.0,1.05,1.01,-0.04,[Fe/H],4.4,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h46m14.75s,281.5614578,+42d27m01.47s,42.450408700000004,12.067,11.472000000000001,10.779000000000002,10.478,10.475999999999999,,,,,11.777999999999999,2015-08-25,2015-09-24,2015-08-25
Kepler-109 b,0,Kepler,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,6.48163307,0.21100000000000002,2.54,,,,,,,,,0.0,406.25,1145.0,83.8,0.833,0.02985,3.784,0.01784,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5945.0,1.3,1.01,-0.08,[Fe/H],4.21,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m34.24s,290.3926795,+40d17m05.67s,40.284907399999994,12.825999999999999,12.398,11.314,11.046,11.001,,,,,12.2955,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-110 b,0,Kepler,1,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,12.69105209,0.1091,0.163,,,,,,,,,0.0,306.75,1067.0,89.95,0.0211,0.02597,3.7939999999999996,0.014709999999999999,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5887.0,1.84,1.07,-0.18,[Fe/H],3.94,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h31m43.00s,292.9291693,+48d36m10.19s,48.602830299999994,13.69,13.003,11.919,11.658,11.623,,,,,12.902000000000001,2014-11-18,2014-12-04,2014-11-18
Kepler-110 c,0,Kepler,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,31.71981013,0.256,3.09,,,,,,,,,0.0,71.97,743.0,89.86,0.125,0.03634,4.819,0.01741,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5869.0,1.63,1.02,-0.16,[Fe/H],4.02,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h31m43.00s,292.9291693,+48d36m10.19s,48.602830299999994,13.69,13.003,11.919,11.658,11.623,,,,,12.902000000000001,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1104 b,0,Kepler,1,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,0.11,0.0614,1.07,,,,,,,,,0.0,587.47,1256.0,89.38,0.1647,0.00784,1.8848,0.008190000000000001,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,6452.0,1.2,1.22,0.0,[Fe/H],4.37,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m52.44s,294.46851969999994,+49d19m51.52s,49.3309789,12.727,12.125,11.215,11.012,10.970999999999998,,,,,12.0831,2014-11-18,2014-12-04,2014-11-18
Kepler-113 b,0,Kepler,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,4.75400072,0.17800000000000002,2.0,,,,,,,,,0.0,85.23,775.0,86.54,0.672,0.07487,2.5394,0.02646,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4728.0,0.69,0.77,0.04,[Fe/H],4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m59.49s,287.99787210000005,+50d56m39.06s,50.9441847,14.99,13.655,11.886,11.36,11.255,,,,,13.4598,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-113 c,0,Kepler,1,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,8.92507952,0.23399999999999999,2.36,,,,,,,,,0.0,36.89,628.0,87.69,0.74,0.09775,2.6766,0.03113,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4728.0,0.69,0.77,0.04,[Fe/H],4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h11m59.49s,287.99787210000005,+50d56m39.06s,50.9441847,14.99,13.655,11.886,11.36,11.255,,,,,13.4598,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1130 b,0,Kepler,1,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,5.45298175,0.071,0.86,,,,,,,,,0.0,166.26,916.0,88.24,0.4829,0.00941,2.1051,0.009000000000000001,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5406.0,0.88,0.95,0.2,[Fe/H],4.53,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m49.78s,285.207421,+45d23m03.60s,45.384333000000005,13.519,12.509,11.137,10.735,10.662,,,,,12.3956,2014-11-21,2014-12-18,2014-11-21
